date,time,member,item,amount,category,tag
2022-11-23,19:33,Dad,Site 1st installment 30x50 plot,1200000,Property & Investments,one_time
2023-10-12,14:48,Mom,Veeledele betel leaves,20,Groceries & Household,lifestyle
2023-10-16,19:37,Dad,Cake + Sweets celebration,2000,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Balloons celebration,15500,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Food for celebration,32000,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Cake celebration,5500,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Shamiyana tent,10000,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Camera,5000,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Adike hoovu ele pooja items,1600,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Diana Book House,900,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Bakery Prema Veena,500,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Naganna celebration,1500,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Water bottles,900,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Dress celebration,5000,Clothing,one_time
2023-10-24,19:37,Dad,Tindi snacks,900,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Tips Shubham,1700,Religion & Gifts,one_time
2023-10-24,19:37,Dad,Suma,1000,Religion & Gifts,one_time
2024-05-02,17:13,Dad,Mango,300,Groceries & Household,lifestyle
2024-05-02,17:13,Dad,Bike petrol,1000,Fuel,lifestyle
2024-05-02,18:43,Dad,Custard powder + sabja seeds,50,Groceries & Household,lifestyle
2024-05-12,19:46,Dad,Cartoon books + balloons,1117,Kids,lifestyle
2024-06-09,22:37,Mom,Cosmetics,2312,Personal Care & Fitness,lifestyle
2024-06-09,22:37,Mom,Baby pampers,279,Kids,recurring
2024-06-09,22:37,Mom,Parlour,180,Personal Care & Fitness,lifestyle
2024-06-09,22:37,Mom,Dress,570,Clothing,lifestyle
2024-06-09,22:37,Mom,Petrol,2000,Fuel,lifestyle
2024-06-09,22:37,Mom,Fruits,400,Groceries & Household,lifestyle
2024-06-09,22:37,Mom,Vegetables,100,Groceries & Household,lifestyle
2024-06-09,22:37,Mom,Baby water bottle,650,Kids,lifestyle
2024-06-09,22:37,Mom,Monika baby dress,700,Kids,lifestyle
2024-06-10,08:12,Mom,Baby water bottle,674,Kids,lifestyle
2024-06-20,18:43,Dad,Dry cleaners,750,Clothing,lifestyle
2024-06-20,18:43,Dad,Shyam store,2450,Groceries & Household,lifestyle
2024-06-20,18:43,Dad,Greenland store,1050,Groceries & Household,lifestyle
2024-06-21,13:14,Dad,Internet recharge,825,Utilities & Recharges,recurring
2024-06-23,09:32,Dad,Pampers + condoms,600,Groceries & Household,recurring
2024-06-23,09:32,Dad,Hit insect spray,480,Groceries & Household,lifestyle
2024-06-23,09:49,Dad,Tarakari vegetables,200,Groceries & Household,lifestyle
2024-06-23,12:03,Mom,Vinutha dress,1312,Clothing,lifestyle
2024-06-24,12:43,Dad,Watch repair,800,Misc,one_time
2024-06-27,15:04,Dad,Petrol,1100,Fuel,lifestyle
2024-06-29,22:42,Mom,Fruits,220,Groceries & Household,lifestyle
2024-06-30,20:45,Dad,Hoovu flowers,240,Religion & Gifts,recurring
2024-06-30,20:45,Dad,Tarakari vegetables,125,Groceries & Household,lifestyle
2024-06-30,20:45,Dad,Petrol,2000,Fuel,lifestyle
2024-06-30,20:45,Dad,Gullehalli farm expense,2000,Farm & Garden,one_time
