date,time,member,type,item,amount,category,tag
2022-11-23,19:33,Dad,expense,Site 1st installment 30x50 plot,1200000,Property & Investments,one_time
2023-10-12,14:48,Mom,expense,Veeledele betel leaves,20,Groceries & Household,lifestyle
2023-10-16,19:37,Dad,expense,Cake + Sweets celebration,2000,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Balloons celebration,15500,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Food for celebration,32000,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Cake celebration,5500,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Shamiyana tent,10000,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Camera,5000,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Adike hoovu ele pooja items,1600,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Diana Book House,900,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Bakery Prema Veena,500,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Naganna celebration,1500,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Water bottles,900,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Dress celebration,5000,Clothing,one_time
2023-10-24,19:37,Dad,expense,Tindi snacks,900,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Tips Shubham,1700,Religion & Gifts,one_time
2023-10-24,19:37,Dad,expense,Suma,1000,Religion & Gifts,one_time
2024-05-02,17:13,Dad,expense,Mango,300,Groceries & Household,lifestyle
2024-05-02,17:13,Dad,expense,Bike petrol,1000,Fuel,lifestyle
2024-05-02,18:43,Dad,expense,Custard powder + sabja seeds,50,Groceries & Household,lifestyle
2024-05-12,19:46,Dad,expense,Cartoon books + balloons,1117,Kids,lifestyle
2024-06-09,22:37,Mom,expense,Cosmetics,2312,Personal Care & Fitness,lifestyle
2024-06-09,22:37,Mom,expense,Baby pampers,279,Kids,recurring
2024-06-09,22:37,Mom,expense,Parlour,180,Personal Care & Fitness,lifestyle
2024-06-09,22:37,Mom,expense,Dress,570,Clothing,lifestyle
2024-06-09,22:37,Mom,expense,Petrol,2000,Fuel,lifestyle
2024-06-09,22:37,Mom,expense,Fruits,400,Groceries & Household,lifestyle
2024-06-09,22:37,Mom,expense,Vegetables,100,Groceries & Household,lifestyle
2024-06-09,22:37,Mom,expense,Baby water bottle,650,Kids,lifestyle
2024-06-09,22:37,Mom,expense,Monika baby dress,700,Kids,lifestyle
2024-06-10,08:12,Mom,expense,Baby water bottle,674,Kids,lifestyle
2024-06-20,18:43,Dad,expense,Dry cleaners,750,Clothing,lifestyle
2024-06-20,18:43,Dad,expense,Shyam store,2450,Groceries & Household,lifestyle
2024-06-20,18:43,Dad,expense,Greenland store,1050,Groceries & Household,lifestyle
2024-06-21,13:14,Dad,expense,Internet recharge,825,Utilities & Recharges,recurring
2024-06-23,09:32,Dad,expense,Pampers + condoms,600,Groceries & Household,recurring
2024-06-23,09:32,Dad,expense,Hit insect spray,480,Groceries & Household,lifestyle
2024-06-23,09:49,Dad,expense,Tarakari vegetables,200,Groceries & Household,lifestyle
2024-06-23,12:03,Mom,expense,Vinutha dress,1312,Clothing,lifestyle
2024-06-24,12:43,Dad,expense,Watch repair,800,Misc,one_time
2024-06-27,15:04,Dad,expense,Petrol,1100,Fuel,lifestyle
2024-06-29,22:42,Mom,expense,Fruits,220,Groceries & Household,lifestyle
2024-06-30,20:45,Dad,expense,Hoovu flowers,240,Religion & Gifts,recurring
2024-06-30,20:45,Dad,expense,Tarakari vegetables,125,Groceries & Household,lifestyle
2024-06-30,20:45,Dad,expense,Petrol,2000,Fuel,lifestyle
2024-06-30,20:45,Dad,expense,Gullehalli farm expense,2000,Farm & Garden,one_time
2024-06-30,20:48,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-07-01,21:11,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-07-01,21:11,Dad,expense,Masala puri,145,Dining Out,lifestyle
2024-07-04,13:10,Dad,expense,Roundup weedicide,785,Farm & Garden,one_time
2024-07-04,13:10,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-07-05,00:09,Dad,expense,Chips,124,Dining Out,lifestyle
2024-07-05,00:09,Dad,expense,Pampers,410,Kids,recurring
2024-07-05,00:09,Dad,expense,Socks,300,Clothing,lifestyle
2024-07-05,00:09,Dad,expense,Varna matching,372,Clothing,lifestyle
2024-07-05,23:19,Dad,expense,Fish,380,Groceries & Household,lifestyle
2024-07-06,17:51,Dad,expense,Bat,100,Kids,lifestyle
2024-07-06,17:51,Dad,expense,Haircut,300,Personal Care & Fitness,lifestyle
2024-07-07,23:05,Dad,expense,Cable,330,Home & Furniture,one_time
2024-07-16,18:52,Dad,expense,Tiago tyre puncture,600,Vehicle Maintenance,one_time
2024-07-19,19:38,Dad,expense,Snacks,140,Dining Out,lifestyle
2024-07-19,19:38,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-07-21,21:31,Dad,expense,Onion + milk,74,Groceries & Household,lifestyle
2024-07-27,12:57,Dad,expense,Petrol,1000,Fuel,lifestyle
